stop_id,stop_code,stop_descr,stop_desr_matrix,stop_street,stoptyp_code,dimos,perioxi,stop_url
65,999,ΣΧΙΣΤΟ,SXISTO,,ΤΕΡΜΑΤΙΚΟΣ ΣΤΑΘΜΟΣ,ΧΑΪΔΑΡΙΟΥ,Δ.  ΧΑΪΔΑΡΙΟΥ,http://telematics.oasa.gr/#stationInfo_999
010001,10001,ΣΤΡΟΦΗ,STROFH,ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΣΤΑΣΗ,ΧΑΪΔΑΡΙΟΥ,Δ.  ΧΑΪΔΑΡΙΟΥ,http://telematics.oasa.gr/#stationInfo_10001
010002,10002,ΚΟΛΩΝΕΣ,KOLONES,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΣΤΑΣΗ,ΧΑΪΔΑΡΙΟΥ,Δ.  ΧΑΪΔΑΡΙΟΥ,http://telematics.oasa.gr/#stationInfo_10002
010003,10003,ΑΓ. ΒΑΡΒΑΡΑ,AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΕΞΥΠΝΗ ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10003
010004,10004,ΔΗΜΑΡΧΕΙΟ,DHMARXEIO,ΗΠΕΙΡΟΥ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10004
010005,10005,ΚΡΗΤΗΣ,KRHTHS,ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10005
010006,10006,ΚΟΥΝΤΟΥΡΙΩΤΟΥ,KOYNTOYRIOTOY,ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10006
010007,10007,ΔΗΜΑΡΧΕΙΟ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ,DHMARXEIO - ST.  AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10007
010008,10008,1η ΑΓ. ΜΑΡΙΝΑΣ,1st AG. MARINAS,ΑΓ. ΜΑΡΙΝΑΣ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10008
010011,10011,ΘΕΜΙΣΤΟΚΛΕΟΥΣ,THEMISTOKLEOYS,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡMΑΝΟΥ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10011
010012,10012,ΠΑΛ. ΤΕΡΜΑ,PAL. TERMA,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡMΑΝΟΥ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10012
010013,10013,ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ,MEG. ALEXANDROY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10013
010014,10014,ΑΦΕΤΗΡΙΑ 837,AFETHRIA 837,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10014
010016,10016,ΠΑΛ. ΤΕΡΜΑ,PAL. TERMA,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10016
010017,10017,ΘΕΜΙΣΤΟΚΛΕΟΥΣ,THEMISTOKLEOYS,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,ΣΤΑΣΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,http://telematics.oasa.gr/#stationInfo_10017
